time,Pair 1 Leg 1 Size,Pair 1 Leg 2 Size,Pair 1 PnL,Pair 1 Cash,Pair 1 Portfolio,Pair 2 Leg 1 Size,Pair 2 Leg 2 Size,Pair 2 PnL,Pair 2 Cash,Pair 2 Portfolio,Pair 3 Leg 1 Size,Pair 3 Leg 2 Size,Pair 3 PnL,Pair 3 Cash,Pair 3 Portfolio,Pair 4 Leg 1 Size,Pair 4 Leg 2 Size,Pair 4 PnL,Pair 4 Cash,Pair 4 Portfolio,Pair 5 Leg 1 Size,Pair 5 Leg 2 Size,Pair 5 PnL,Pair 5 Cash,Pair 5 Portfolio
2022-03-24 15:45:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:46:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:47:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:48:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:49:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,-0.0,199994.57078073625,199994.57078073625
2022-03-24 15:50:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.0,199994.57078073625,199994.57078073625
2022-03-24 15:51:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.0,199994.57078073625,199994.57078073625
2022-03-24 15:52:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,-0.0,200146.76780496672,200146.76780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.0,199994.57078073625,199994.57078073625
2022-03-24 15:53:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,0.0,199951.79294709614,199951.79294709614,-48.0,71,-0.0,190086.0678049667,200156.01780496672,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.0,199994.57078073625,199994.57078073625
2022-03-24 15:54:00,0.0,0,-0.0,200210.84038472414,200210.84038472414,0.0,0,-0.0,199951.79294709614,199951.79294709614,0.0,0,12.149999999997732,200149.59520491786,200149.59520491786,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.0,199994.57078073625,199994.57078073625
2022-03-24 15:55:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,0.0,199951.79294709614,199951.79294709614,0.0,0,0.0,200149.59520491786,200149.59520491786,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.0,199994.57078073625,199994.57078073625
2022-03-24 15:56:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,0.0,199951.79294709614,199951.79294709614,0.0,0,0.0,200149.59520491786,200149.59520491786,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.0,199994.57078073625,199994.57078073625
2022-03-24 15:57:00,0.0,0,0.0,200210.84038472414,200210.84038472414,0.0,0,0.0,199951.79294709614,199951.79294709614,48.0,-71,0.0,189929.67520491785,200146.05520491785,0.0,0,0.0,199939.94422824634,199939.94422824634,0.0,0,0.0,199994.57078073625,199994.57078073625
